2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:22:15 | INFO     | backend.app.database.mysql_database:get_dataset_with_results:446 | 📊 Retrieved 10 dataset records
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:27:19 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:31:18 | INFO     | backend.app.database.mysql_database:get_dataset_with_results:525 | 📊 Retrieved 10 dataset records
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:32:50 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:36:30 | INFO     | backend.app.database.mysql_database:get_dataset_with_results:525 | 📊 Retrieved 10 dataset records
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:get_dataset_with_results:525 | 📊 Retrieved 20 dataset records
2025-08-09 15:37:29 | INFO     | backend.app.database.mysql_database:get_form_results:566 | 📊 Retrieved 5 form results
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:42:34 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:44:44 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:init_database:50 | ✅ Database 'allerscan_db' created/verified
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:_create_tables:133 | ✅ All MySQL tables created successfully
2025-08-09 15:48:03 | INFO     | backend.app.database.mysql_database:init_database:64 | ✅ MySQL database initialized successfully
2025-08-09 16:10:26 | INFO     | backend.app.models.inference.predictor:load_and_train_model:53 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:10:26 | INFO     | backend.app.models.inference.predictor:load_and_train_model:64 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
2025-08-09 16:10:42 | INFO     | backend.app.models.inference.predictor:load_and_train_model:89 | 📊 Cross Validation Accuracy: 93.74%
2025-08-09 16:10:47 | INFO     | backend.app.core.logger:log_model_loaded:81 | ✅ ML models loaded successfully
2025-08-09 16:10:47 | INFO     | backend.app.models.inference.predictor:load_and_train_model:97 | ✅ SVM + AdaBoost model trained successfully sesuai script dosen
2025-08-09 16:10:47 | INFO     | backend.app.models.inference.predictor:load_and_train_model:98 | 🔢 Features: 623
2025-08-09 16:10:47 | INFO     | backend.app.models.inference.predictor:load_and_train_model:99 | 📋 Samples: 399
2025-08-09 16:10:47 | INFO     | backend.app.models.inference.predictor:load_and_train_model:53 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:10:47 | INFO     | backend.app.models.inference.predictor:load_and_train_model:64 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
2025-08-09 16:11:02 | INFO     | backend.app.models.inference.predictor:load_and_train_model:89 | 📊 Cross Validation Accuracy: 93.74%
2025-08-09 16:11:07 | INFO     | backend.app.core.logger:log_model_loaded:81 | ✅ ML models loaded successfully
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:load_and_train_model:97 | ✅ SVM + AdaBoost model trained successfully sesuai script dosen
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:load_and_train_model:98 | 🔢 Features: 623
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:load_and_train_model:99 | 📋 Samples: 399
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:predict_allergens:172 | 🤖 Using SVM + AdaBoost model sesuai script dosen
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:predict_allergens:172 | 🤖 Using SVM + AdaBoost model sesuai script dosen
2025-08-09 16:11:07 | INFO     | backend.app.models.inference.predictor:predict_allergens:172 | 🤖 Using SVM + AdaBoost model sesuai script dosen
2025-08-09 16:11:55 | INFO     | backend.app.models.inference.predictor:load_and_train_model:53 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:11:55 | INFO     | backend.app.models.inference.predictor:load_and_train_model:64 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
2025-08-09 16:12:11 | INFO     | backend.app.models.inference.predictor:load_and_train_model:89 | 📊 Cross Validation Accuracy: 93.74%
2025-08-09 16:12:17 | INFO     | backend.app.core.logger:log_model_loaded:81 | ✅ ML models loaded successfully
2025-08-09 16:12:17 | INFO     | backend.app.models.inference.predictor:load_and_train_model:97 | ✅ SVM + AdaBoost model trained successfully sesuai script dosen
2025-08-09 16:12:17 | INFO     | backend.app.models.inference.predictor:load_and_train_model:98 | 🔢 Features: 623
2025-08-09 16:12:17 | INFO     | backend.app.models.inference.predictor:load_and_train_model:99 | 📋 Samples: 399
2025-08-09 16:12:17 | INFO     | backend.app.models.inference.predictor:load_and_train_model:53 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:12:17 | INFO     | backend.app.models.inference.predictor:load_and_train_model:64 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
2025-08-09 16:12:32 | INFO     | backend.app.models.inference.predictor:load_and_train_model:89 | 📊 Cross Validation Accuracy: 93.74%
2025-08-09 16:12:37 | INFO     | backend.app.core.logger:log_model_loaded:81 | ✅ ML models loaded successfully
2025-08-09 16:12:37 | INFO     | backend.app.models.inference.predictor:load_and_train_model:97 | ✅ SVM + AdaBoost model trained successfully sesuai script dosen
2025-08-09 16:12:37 | INFO     | backend.app.models.inference.predictor:load_and_train_model:98 | 🔢 Features: 623
2025-08-09 16:12:37 | INFO     | backend.app.models.inference.predictor:load_and_train_model:99 | 📋 Samples: 399
2025-08-09 16:20:02 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:62 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:20:02 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:70 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
2025-08-09 16:20:17 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:102 | 📊 Cross Validation Accuracy: 93.74%
2025-08-09 16:20:22 | INFO     | backend.app.core.logger:log_model_loaded:81 | ✅ ML models loaded successfully
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:110 | ✅ SVM + AdaBoost model trained successfully sesuai script dosen (FIXED)
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:111 | 🔢 Features: 623
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:112 | 📋 Samples: 399
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:203 | 🤖 Using SVM + AdaBoost model sesuai script dosen (FIXED)
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:204 | 🔍 Input OOV analysis: 100.0% unknown fields
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:205 | 🔢 Encoding analysis: 0/623 active features (0.0%)
2025-08-09 16:20:22 | WARNING  | backend.app.models.inference.predictor_fixed:predict_allergens:219 | ⚠️ Critical OOV detected (100.0%) - confidence severely reduced
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:203 | 🤖 Using SVM + AdaBoost model sesuai script dosen (FIXED)
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:204 | 🔍 Input OOV analysis: 100.0% unknown fields
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:205 | 🔢 Encoding analysis: 0/623 active features (0.0%)
2025-08-09 16:20:22 | WARNING  | backend.app.models.inference.predictor_fixed:predict_allergens:219 | ⚠️ Critical OOV detected (100.0%) - confidence severely reduced
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:203 | 🤖 Using SVM + AdaBoost model sesuai script dosen (FIXED)
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:204 | 🔍 Input OOV analysis: 83.3% unknown fields
2025-08-09 16:20:22 | INFO     | backend.app.models.inference.predictor_fixed:predict_allergens:205 | 🔢 Encoding analysis: 0/623 active features (0.0%)
2025-08-09 16:20:22 | WARNING  | backend.app.models.inference.predictor_fixed:predict_allergens:223 | ⚠️ High OOV detected (83.3%) - confidence reduced
2025-08-09 16:20:48 | WARNING  | backend.app.models.inference.predictor_fixed:predict_allergens:162 | ⚠️ Model not loaded, loading now...
2025-08-09 16:20:48 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:62 | Loading dataset dan training SVM + AdaBoost model sesuai script dosen...
2025-08-09 16:20:48 | INFO     | backend.app.models.inference.predictor_fixed:load_and_train_model:70 | Loading dataset dari: data/raw/Dataset Bahan Makanan & Alergen.xlsx
